시도,시군구,도로형태,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,터널안,14,0,31,2,27,2
서울,종로구,교량위,4,0,5,2,3,0
서울,종로구,고가도로위,1,0,2,0,2,0
서울,종로구,지하차도(도로)내,3,0,9,2,5,2
서울,종로구,기타단일로,693,9,961,218,613,130
서울,종로구,교차로내,244,3,375,83,239,53
서울,종로구,교차로횡단보도내,33,0,39,14,20,5
서울,종로구,교차로부근,176,1,244,46,175,23
서울,종로구,주차장,1,0,1,0,1,0
서울,종로구,기타,20,0,21,8,11,2
서울,종로구,불명,1,0,1,0,1,0
서울,중구,터널안,13,0,35,8,17,10
서울,중구,교량위,1,0,1,0,1,0
서울,중구,지하차도(도로)내,1,0,4,1,3,0
서울,중구,기타단일로,684,3,903,221,590,92
서울,중구,교차로내,237,1,340,98,212,30
서울,중구,교차로횡단보도내,45,0,54,18,24,12
서울,중구,교차로부근,218,0,284,64,174,46
서울,중구,주차장,5,0,5,1,4,0
서울,중구,기타,48,0,58,18,37,3
서울,용산구,터널안,10,0,13,2,8,3
서울,용산구,교량위,27,1,44,7,36,1
서울,용산구,고가도로위,9,1,17,1,15,1
서울,용산구,지하차도(도로)내,49,0,73,21,52,0
서울,용산구,기타단일로,754,10,1112,222,803,87
서울,용산구,교차로내,207,0,306,59,216,31
서울,용산구,교차로횡단보도내,32,0,33,17,15,1
서울,용산구,교차로부근,189,0,266,52,200,14
서울,용산구,주차장,2,0,3,0,3,0
서울,용산구,기타,56,0,76,20,48,8
서울,용산구,불명,2,0,6,0,6,0
서울,성동구,터널안,2,0,2,0,2,0
서울,성동구,교량위,31,0,59,18,40,1
서울,성동구,고가도로위,10,0,15,4,11,0
서울,성동구,지하차도(도로)내,3,1,2,1,0,1
서울,성동구,기타단일로,498,7,718,139,478,101
서울,성동구,교차로내,271,5,366,101,227,38
서울,성동구,교차로횡단보도내,47,1,47,20,24,3
서울,성동구,교차로부근,129,1,181,32,120,29
서울,성동구,주차장,3,0,3,2,1,0
서울,성동구,기타,82,0,108,27,73,8
서울,동대문구,터널안,2,0,5,0,5,0
서울,동대문구,교량위,7,1,7,1,4,2
서울,동대문구,고가도로위,10,0,26,5,20,1
서울,동대문구,지하차도(도로)내,2,0,2,2,0,0
서울,동대문구,기타단일로,798,15,978,256,654,68
서울,동대문구,교차로내,423,3,537,159,343,35
서울,동대문구,교차로횡단보도내,92,1,102,48,49,5
서울,동대문구,교차로부근,271,4,355,83,245,27
서울,동대문구,주차장,5,0,5,2,2,1
서울,동대문구,기타,103,1,117,28,82,7
서울,동대문구,불명,5,0,5,1,4,0
서울,성북구,터널안,15,0,29,5,16,8
서울,성북구,교량위,7,0,13,1,12,0
서울,성북구,고가도로위,24,1,46,9,33,4
서울,성북구,기타단일로,805,10,1073,227,781,65
서울,성북구,교차로내,371,3,475,112,337,26
서울,성북구,교차로횡단보도내,80,2,81,29,49,3
서울,성북구,교차로부근,194,1,271,59,193,19
서울,성북구,주차장,3,0,5,0,5,0
서울,성북구,기타,58,0,75,20,51,4
서울,도봉구,터널안,2,0,3,3,0,0
서울,도봉구,교량위,3,0,5,1,4,0
서울,도봉구,고가도로위,1,0,1,0,0,1
서울,도봉구,지하차도(도로)내,8,1,12,3,8,1
서울,도봉구,기타단일로,361,4,437,118,272,47
서울,도봉구,교차로내,356,0,495,123,310,62
서울,도봉구,교차로횡단보도내,53,1,57,21,31,5
서울,도봉구,교차로부근,147,2,217,43,152,22
서울,도봉구,주차장,1,0,1,0,0,1
서울,도봉구,기타,12,1,11,4,5,2
서울,은평구,터널안,2,0,11,1,10,0
서울,은평구,교량위,1,0,1,0,1,0
서울,은평구,기타단일로,435,4,553,138,359,56
서울,은평구,교차로내,296,4,505,97,349,59
서울,은평구,교차로횡단보도내,73,2,77,33,37,7
서울,은평구,교차로부근,224,2,298,59,225,14
서울,은평구,주차장,5,0,6,0,6,0
서울,은평구,기타,30,0,37,9,21,7
서울,은평구,불명,1,0,1,0,1,0
서울,서대문구,터널안,5,0,11,1,10,0
서울,서대문구,교량위,7,0,20,5,8,7
