시도,시군구,사고유형대분류,사고유형,발생건수,사망자수,부상자수,중상,경상,부상신고
서울,종로구,차대사람,횡단중,134,2,145,66,66,13
서울,종로구,차대사람,차도통행중,57,3,59,22,28,9
서울,종로구,차대사람,길가장자리구역통행중,21,0,21,0,15,6
서울,종로구,차대사람,보도통행중,21,0,25,9,12,4
서울,종로구,차대사람,기타,100,3,101,32,60,9
서울,종로구,차대차,정면충돌,29,0,54,12,33,9
서울,종로구,차대차,측면충돌,430,0,653,131,428,94
서울,종로구,차대차,후진중충돌,5,0,7,1,5,1
서울,종로구,차대차,추돌,199,2,365,41,301,23
서울,종로구,차대차,기타,147,1,206,47,125,34
서울,종로구,차량단독,전도,7,1,8,0,4,4
서울,종로구,차량단독,전도전복,3,0,3,1,0,2
서울,종로구,차량단독,공작물충돌,11,1,16,4,8,4
서울,종로구,차량단독,도로이탈,1,0,1,0,0,1
서울,종로구,차량단독,기타,25,0,25,9,12,4
서울,중구,차대사람,횡단중,116,0,121,68,40,13
서울,중구,차대사람,차도통행중,41,0,41,20,15,6
서울,중구,차대사람,길가장자리구역통행중,21,0,21,7,13,1
서울,중구,차대사람,보도통행중,23,1,23,11,10,2
서울,중구,차대사람,기타,115,0,120,47,63,10
서울,중구,차대차,정면충돌,9,0,14,5,7,2
서울,중구,차대차,측면충돌,458,0,658,140,423,95
서울,중구,차대차,후진중충돌,12,0,15,3,12,0
서울,중구,차대차,추돌,259,2,421,60,320,41
서울,중구,차대차,기타,158,1,207,55,134,18
서울,중구,차량단독,전도,5,0,5,3,2,0
서울,중구,차량단독,전도전복,2,0,2,0,0,2
서울,중구,차량단독,공작물충돌,4,0,5,1,3,1
서울,중구,차량단독,도로이탈,1,0,1,1,0,0
서울,중구,차량단독,기타,28,0,30,8,20,2
서울,용산구,차대사람,횡단중,134,3,140,60,67,13
서울,용산구,차대사람,차도통행중,21,2,25,13,7,5
서울,용산구,차대사람,길가장자리구역통행중,13,0,13,3,8,2
서울,용산구,차대사람,보도통행중,13,0,17,5,9,3
서울,용산구,차대사람,기타,105,3,110,29,74,7
서울,용산구,차대차,정면충돌,184,0,298,72,203,23
서울,용산구,차대차,측면충돌,372,0,560,85,452,23
서울,용산구,차대차,후진중충돌,17,0,21,1,19,1
서울,용산구,차대차,추돌,262,0,485,68,384,33
서울,용산구,차대차,기타,159,1,217,45,149,23
서울,용산구,차량단독,전도,8,1,9,3,4,2
서울,용산구,차량단독,전도전복,5,0,6,2,1,3
서울,용산구,차량단독,공작물충돌,6,2,6,4,1,1
서울,용산구,차량단독,기타,38,0,42,11,24,7
서울,성동구,차대사람,횡단중,116,2,122,57,60,5
서울,성동구,차대사람,차도통행중,13,0,13,6,7,0
서울,성동구,차대사람,길가장자리구역통행중,21,0,22,5,15,2
서울,성동구,차대사람,보도통행중,12,0,12,3,6,3
서울,성동구,차대사람,기타,80,1,84,31,41,12
서울,성동구,차대차,정면충돌,3,1,3,0,2,1
서울,성동구,차대차,측면충돌,390,4,559,123,374,62
서울,성동구,차대차,후진중충돌,9,0,13,1,10,2
서울,성동구,차대차,추돌,196,0,370,46,284,40
서울,성동구,차대차,기타,190,2,252,55,150,47
서울,성동구,차량단독,전도,5,0,5,3,1,1
서울,성동구,차량단독,전도전복,5,1,4,1,2,1
서울,성동구,차량단독,공작물충돌,11,3,12,3,7,2
서울,성동구,차량단독,기타,25,1,30,10,17,3
서울,동대문구,차대사람,횡단중,226,5,232,126,98,8
서울,동대문구,차대사람,차도통행중,36,1,35,13,20,2
서울,동대문구,차대사람,길가장자리구역통행중,35,0,35,6,26,3
서울,동대문구,차대사람,보도통행중,22,1,23,7,15,1
서울,동대문구,차대사람,기타,199,7,196,70,117,9
서울,동대문구,차대차,정면충돌,13,2,16,4,11,1
서울,동대문구,차대차,측면충돌,474,4,608,146,425,37
서울,동대문구,차대차,후진중충돌,12,0,17,3,14,0
서울,동대문구,차대차,추돌,245,1,426,68,334,24
서울,동대문구,차대차,기타,384,0,473,120,302,51
서울,동대문구,차량단독,전도,11,0,13,5,6,2
서울,동대문구,차량단독,전도전복,12,0,12,3,6,3
서울,동대문구,차량단독,공작물충돌,8,2,8,5,3,0
서울,동대문구,차량단독,기타,41,2,45,9,31,5
서울,성북구,차대사람,횡단중,230,7,230,104,119,7
서울,성북구,차대사람,차도통행중,44,1,43,21,22,0
서울,성북구,차대사람,길가장자리구역통행중,31,0,31,10,17,4
서울,성북구,차대사람,보도통행중,25,0,26,6,19,1
서울,성북구,차대사람,기타,83,2,83,27,54,2
서울,성북구,차대차,정면충돌,97,0,156,30,113,13
서울,성북구,차대차,측면충돌,530,3,748,156,547,45
서울,성북구,차대차,후진중충돌,10,0,15,0,15,0
서울,성북구,차대차,추돌,249,0,412,46,339,27
서울,성북구,차대차,기타,188,1,237,36,185,16
서울,성북구,차량단독,전도,15,3,14,8,2,4
서울,성북구,차량단독,전도전복,4,0,4,0,2,2
서울,성북구,차량단독,공작물충돌,12,0,20,6,11,3
서울,성북구,차량단독,기타,39,0,49,12,32,5
서울,도봉구,차대사람,횡단중,162,2,170,69,88,13
서울,도봉구,차대사람,차도통행중,23,1,22,10,10,2
서울,도봉구,차대사람,길가장자리구역통행중,18,0,19,7,10,2
서울,도봉구,차대사람,보도통행중,16,0,16,5,10,1
서울,도봉구,차대사람,기타,90,0,91,33,51,7
서울,도봉구,차대차,정면충돌,25,0,44,18,24,2
서울,도봉구,차대차,측면충돌,343,2,487,99,309,79
서울,도봉구,차대차,후진중충돌,6,0,9,2,7,0
서울,도봉구,차대차,추돌,122,2,202,33,161,8
서울,도봉구,차대차,기타,97,1,137,25,96,16
서울,도봉구,차량단독,전도,2,0,2,0,0,2
서울,도봉구,차량단독,전도전복,4,0,4,2,1,1
서울,도봉구,차량단독,공작물충돌,3,0,3,0,1,2
서울,도봉구,차량단독,기타,33,1,33,13,14,6
서울,은평구,차대사람,횡단중,170,6,174,88,78,8
서울,은평구,차대사람,차도통행중,59,1,63,19,41,3
서울,은평구,차대사람,길가장자리구역통행중,27,0,27,8,17,2
서울,은평구,차대사람,보도통행중,8,0,9,3,6,0
서울,은평구,차대사람,기타,152,0,166,46,104,16
서울,은평구,차대차,정면충돌,28,1,49,13,34,2
서울,은평구,차대차,측면충돌,310,2,533,93,373,67
서울,은평구,차대차,후진중충돌,18,0,24,2,19,3
서울,은평구,차대차,추돌,122,0,211,19,184,8
서울,은평구,차대차,기타,133,2,188,37,124,27
서울,은평구,차량단독,전도,9,0,10,2,6,2
서울,은평구,차량단독,전도전복,3,0,3,1,1,1
서울,은평구,차량단독,공작물충돌,3,0,3,0,2,1
서울,은평구,차량단독,도로이탈,1,0,1,0,1,0
서울,은평구,차량단독,기타,24,0,28,6,19,3
서울,서대문구,차대사람,횡단중,140,4,150,72,70,8
서울,서대문구,차대사람,차도통행중,34,0,35,14,20,1
서울,서대문구,차대사람,길가장자리구역통행중,23,0,27,6,18,3
서울,서대문구,차대사람,보도통행중,24,0,26,14,11,1
서울,서대문구,차대사람,기타,89,1,96,38,44,14
서울,서대문구,차대차,정면충돌,9,0,11,3,7,1
서울,서대문구,차대차,측면충돌,343,3,561,90,394,77
서울,서대문구,차대차,후진중충돌,9,0,11,1,10,0
서울,서대문구,차대차,추돌,158,0,262,41,190,31
서울,서대문구,차대차,기타,155,0,199,39,133,27
서울,서대문구,차량단독,전도,8,0,10,3,4,3
서울,서대문구,차량단독,전도전복,1,0,1,1,0,0
서울,서대문구,차량단독,공작물충돌,6,0,7,1,3,3
서울,서대문구,차량단독,도로이탈,1,0,1,0,0,1
서울,서대문구,차량단독,기타,32,0,33,8,19,6
서울,마포구,차대사람,횡단중,143,5,152,75,69,8
서울,마포구,차대사람,차도통행중,60,2,63,26,34,3
서울,마포구,차대사람,길가장자리구역통행중,21,0,21,5,14,2
서울,마포구,차대사람,보도통행중,26,0,30,8,20,2
서울,마포구,차대사람,기타,212,0,223,52,150,21
서울,마포구,차대차,정면충돌,179,0,342,82,242,18
서울,마포구,차대차,측면충돌,498,1,781,126,591,64
서울,마포구,차대차,후진중충돌,15,0,18,1,17,0
서울,마포구,차대차,추돌,307,0,615,71,499,45
서울,마포구,차대차,기타,341,0,479,63,379,37
서울,마포구,차량단독,전도,8,0,8,3,4,1
서울,마포구,차량단독,전도전복,3,0,4,0,3,1
서울,마포구,차량단독,공작물충돌,19,0,22,8,12,2
서울,마포구,차량단독,도로이탈,2,0,2,1,1,0
서울,마포구,차량단독,기타,25,0,33,6,22,5
서울,강서구,차대사람,횡단중,144,3,154,75,69,10
서울,강서구,차대사람,차도통행중,69,2,71,34,31,6
서울,강서구,차대사람,길가장자리구역통행중,29,0,29,12,16,1
서울,강서구,차대사람,보도통행중,40,0,42,22,20,0
서울,강서구,차대사람,기타,120,1,121,43,66,12
서울,강서구,차대차,정면충돌,62,1,93,26,61,6
서울,강서구,차대차,측면충돌,517,1,752,145,547,60
서울,강서구,차대차,후진중충돌,16,0,18,3,13,2
서울,강서구,차대차,추돌,244,2,425,68,332,25
서울,강서구,차대차,기타,286,1,388,71,282,35
서울,강서구,차량단독,전도,3,0,3,2,1,0
서울,강서구,차량단독,전도전복,3,0,3,3,0,0
서울,강서구,차량단독,공작물충돌,11,1,13,3,9,1
서울,강서구,차량단독,기타,40,0,43,11,30,2
서울,구로구,차대사람,횡단중,177,4,188,94,83,11
서울,구로구,차대사람,차도통행중,40,2,42,21,17,4
서울,구로구,차대사람,길가장자리구역통행중,25,0,25,9,12,4
서울,구로구,차대사람,보도통행중,19,0,22,7,15,0
서울,구로구,차대사람,기타,109,3,113,40,64,9
서울,구로구,차대차,정면충돌,173,0,263,72,174,17
서울,구로구,차대차,측면충돌,311,0,444,78,323,43
서울,구로구,차대차,후진중충돌,9,0,11,0,10,1
서울,구로구,차대차,추돌,278,1,479,78,374,27
서울,구로구,차대차,기타,244,2,318,68,226,24
서울,구로구,차량단독,전도,4,0,5,2,3,0
서울,구로구,차량단독,전도전복,2,0,2,0,1,1
서울,구로구,차량단독,공작물충돌,6,0,8,1,6,1
서울,구로구,차량단독,도로이탈,1,0,1,0,1,0
서울,구로구,차량단독,기타,35,0,39,12,21,6
서울,영등포구,차대사람,횡단중,256,8,262,126,110,26
서울,영등포구,차대사람,차도통행중,86,2,94,26,50,18
서울,영등포구,차대사람,길가장자리구역통행중,42,1,41,11,27,3
서울,영등포구,차대사람,보도통행중,18,0,18,7,9,2
서울,영등포구,차대사람,기타,158,2,164,51,89,24
서울,영등포구,차대차,정면충돌,392,2,714,141,494,79
서울,영등포구,차대차,측면충돌,568,2,864,124,654,86
서울,영등포구,차대차,후진중충돌,17,0,22,0,19,3
서울,영등포구,차대차,추돌,341,2,650,87,520,43
서울,영등포구,차대차,기타,412,0,544,80,383,81
서울,영등포구,차량단독,전도,15,0,20,4,10,6
서울,영등포구,차량단독,전복,2,0,2,0,1,1
서울,영등포구,차량단독,전도전복,4,1,6,1,4,1
서울,영등포구,차량단독,공작물충돌,18,1,33,7,24,2
서울,영등포구,차량단독,도로이탈,1,0,1,0,1,0
서울,영등포구,차량단독,기타,56,1,84,21,57,6
서울,동작구,차대사람,횡단중,136,6,148,66,71,11
서울,동작구,차대사람,차도통행중,36,2,35,7,24,4
서울,동작구,차대사람,길가장자리구역통행중,38,0,40,9,27,4
서울,동작구,차대사람,보도통행중,23,1,26,11,12,3
서울,동작구,차대사람,기타,155,2,160,42,103,15
서울,동작구,차대차,정면충돌,22,1,37,4,25,8
서울,동작구,차대차,측면충돌,441,5,681,122,482,77
서울,동작구,차대차,후진중충돌,13,0,64,11,45,8
서울,동작구,차대차,추돌,276,0,486,74,378,34
서울,동작구,차대차,기타,220,1,313,65,208,40
서울,동작구,차량단독,전도,4,1,3,0,3,0
서울,동작구,차량단독,전도전복,3,0,3,0,3,0
서울,동작구,차량단독,공작물충돌,19,0,23,6,16,1
서울,동작구,차량단독,도로이탈,2,1,2,0,1,1
서울,동작구,차량단독,기타,21,0,22,9,10,3
서울,관악구,차대사람,횡단중,149,4,159,76,73,10
서울,관악구,차대사람,차도통행중,37,3,36,18,14,4
서울,관악구,차대사람,길가장자리구역통행중,33,0,34,11,20,3
서울,관악구,차대사람,보도통행중,14,0,15,8,7,0
서울,관악구,차대사람,기타,135,3,137,39,85,13
서울,관악구,차대차,정면충돌,188,0,286,68,183,35
