,시군구,다발지역명,발생건수,사망자수,부상자수,중상,경상
0,중구,부산광역시 중구 남포동6가(남포사거리 인근),33,0,41,12,25
1,중구,부산광역시 중구 부평동4가(보수사거리 인근),27,0,32,9,22
2,중구,부산광역시 중구 중앙동6가(부산우체국사거리 인근),25,0,33,11,19
3,서구,부산광역시 서구 암남동(충무교차로 인근),29,0,55,13,37
4,서구,부산광역시 서구 동대신동3가(동대사거리 인근),19,1,27,7,17
5,서구,부산광역시 서구 암남동(세영수산 인근),18,0,26,10,16
6,동구,부산광역시 동구 초량동(부산역 인근),34,0,44,14,25
7,동구,부산광역시 동구 초량동(백광약국 인근),24,0,29,14,13
8,동구,부산광역시 동구 초량동(한국토지공사 인근),23,0,37,5,30
9,영도구,부산광역시 영도구 봉래동1가(대교사거리 인근),23,0,35,6,29
10,영도구,부산광역시 영도구 봉래동3가(소방서앞사거리 인근),19,0,23,11,12
11,영도구,부산광역시 영도구 영선동2가(농협교차로 인근),10,0,10,4,5
12,부산진구,부산광역시 부산진구 부전동(서면교차로 인근),54,0,82,21,51
13,부산진구,부산광역시 부산진구 범천동(광무교북측 인근),51,0,85,20,58
14,부산진구,부산광역시 부산진구 가야동(부전사거리 인근),47,1,65,29,29
15,동래구,부산광역시 동래구 사직동(내성교차로 인근),40,0,49,14,32
16,동래구,부산광역시 동래구 온천동(동부터미널교차로 인근),37,0,44,9,32
17,동래구,부산광역시 동래구 명륜동(동래경찰서 인근),26,1,35,9,24
18,남구,부산광역시 남구 문현동(문현지하차도남단 인근),29,0,36,7,22
19,남구,부산광역시 남구 대연동(대연전화국 인근),27,0,29,7,19
20,남구,부산광역시 남구 대연동(대연사거리 인근),24,1,31,7,21
21,북구,부산광역시 북구 구포동(덕천교차로 인근),30,0,47,7,34
22,북구,부산광역시 북구 덕천동(성진주유소앞 인근),29,1,38,12,24
23,북구,부산광역시 북구 덕천동(만덕베르빌아파트앞 인근),28,0,40,9,27
24,해운대구,부산광역시 해운대구 중동(우리은행중앙지점 인근),23,2,37,10,24
25,해운대구,부산광역시 해운대구 우동(올림픽교차로 인근),22,0,40,9,26
26,해운대구,부산광역시 해운대구 반여동(선수촌교차로 인근),21,0,30,13,17
27,사하구,부산광역시 사하구 장림동(하단교차로 인근),49,0,67,18,46
28,사하구,부산광역시 사하구 장림동(하단초등학교 인근),23,1,27,11,14
29,사하구,부산광역시 사하구 하단동(사하구청앞 인근),19,0,31,6,21
30,금정구,부산광역시 금정구 구서동(구서교차로 인근),25,0,33,5,20
31,금정구,부산광역시 금정구 서동(부산은행동상동지점 인근),22,0,24,8,15
32,금정구,부산광역시 금정구 장전동(부산대정문앞 인근),19,0,21,6,9
33,강서구,부산광역시 강서구 구랑동(녹산중소기업지원센터 인근),10,0,18,5,13
34,강서구,부산광역시 강서구 명지동(명지IC 인근),8,0,16,4,11
35,강서구,부산광역시 강서구 명지동(청량사거리 인근),8,0,13,5,7
36,연제구,부산광역시 연제구 연산동(연산교차로 인근),56,0,71,19,45
37,연제구,부산광역시 연제구 연산동(동래신경외과 인근),21,1,22,7,14
38,연제구,부산광역시 연제구 연산동(뉴콘티넨탈관광호텔 인근),20,0,23,8,14
39,수영구,부산광역시 수영구 광안동(수영교차로 인근),32,0,46,8,33
40,수영구,부산광역시 수영구 광안동(마이다스관광호텔 인근),23,0,30,8,21
41,수영구,부산광역시 수영구 남천동(오페라모텔 인근),22,0,37,10,25
42,사상구,부산광역시 사상구 감전동(서부터미널 인근),32,0,43,13,23
43,사상구,부산광역시 사상구 감전동(괴법교삼거리 인근),21,0,32,6,17
44,사상구,부산광역시 사상구 괘법동(심이태소아과의원앞 인근),21,0,24,5,14
45,기장군,부산광역시 기장군 기장읍(부산은행기장점 인근),16,0,18,7,10
46,기장군,부산광역시 기장군 기장읍(한신아파트사거리 인근),11,0,16,3,11
47,기장군,부산광역시 기장군 일광면(기장역사거리 인근),10,0,11,1,10
