,시군구,다발지역명,발생건수,사망자수,부상자수,중상,경상
0,서구,부산광역시 서구 서대신동1가(오토맨션 부근),4,0,10,3,7
1,서구,부산광역시 서구 암남동(송도집 부근),4,0,5,1,4
2,서구,부산광역시 서구 서대신동2가(서대신사거리 부근),3,0,6,0,6
3,동구,부산광역시 동구 범일동(코리아시티관광호텔 부근),3,0,3,2,1
4,영도구,부산광역시 영도구 봉래동1가(부산대교남측 부근),3,1,11,3,7
5,부산진구,부산광역시 부산진구 부전동(서면교차로 부근),7,0,8,4,4
6,부산진구,부산광역시 부산진구 부전동(버전동새마을금고 부근),5,0,9,2,7
7,부산진구,부산광역시 부산진구 개금동(대성예식장앞 부근),4,1,4,2,1
8,부산진구,부산광역시 부산진구 부전동(부전2동 부근),4,0,4,2,1
9,부산진구,부산광역시 부산진구 전포동(경남은행서면지점 부근),4,0,4,1,2
10,동래구,부산광역시 동래구 명장동(서동소방파출소 부근),4,0,5,2,3
11,동래구,부산광역시 동래구 명륜동(동래교차로 부근),3,0,4,0,4
12,남구,부산광역시 남구 대연동(대연농협 부근),4,0,7,2,5
13,남구,부산광역시 남구 용호동(수영구청앞 부근),3,0,6,5,0
14,남구,부산광역시 남구 대연동(대남교차로 부근),3,0,3,2,1
15,북구,부산광역시 북구 구포동(부경온돌판넬온수기 부근),4,1,4,3,0
16,북구,부산광역시 북구 만덕동(만덕제2터널서측 부근),3,0,3,2,1
17,해운대구,부산광역시 해운대구 좌동(대하프라자 부근),3,0,4,2,1
18,사하구,부산광역시 사하구 다대동(다대현대아파트 부근),4,0,5,2,3
19,사하구,부산광역시 사하구 감천동(옥천초등삼거리 부근),3,0,3,1,2
20,금정구,부산광역시 금정구 구서동(남산동훼미리주유소 부근),3,0,9,5,4
21,금정구,부산광역시 금정구 부곡동(부산정보관광고등학교 부근),3,0,4,0,4
22,연제구,부산광역시 연제구 연산동(연산중고차매매단지 부근),4,0,4,1,3
23,연제구,부산광역시 연제구 연산동(부일여자중학교 부근),3,0,3,1,2
24,수영구,부산광역시 수영구 광안동(동방오거리 부근),3,0,3,2,1
25,사상구,부산광역시 사상구 괘법동(서부터미널 부근),4,0,4,2,2
26,사상구,부산광역시 사상구 덕포동(SK할인마트 부근),3,0,3,1,1
