,시군구,다발지역명,발생건수,사망자수,부상자수,중상,경상
0,중구,부산광역시 중구 남포동5가(시장약국 부근),5,0,5,2,2
1,서구,부산광역시 서구 충무동1가(충무동사거리 부근),6,1,8,5,2
2,서구,부산광역시 서구 토성동3가(동의부부한의원 부근),4,0,4,2,2
3,동구,부산광역시 동구 범일동(범일신통한의원 부근),6,1,6,5,0
4,부산진구,부산광역시 부산진구 부전동(메가박스 서면점 부근),17,1,19,9,8
5,동래구,부산광역시 동래구 명륜동(안강한의원 부근),5,0,5,3,1
6,동래구,부산광역시 동래구 온천동(부산온천3동우체국 부근),6,0,7,4,3
7,남구,부산광역시 남구 대연동(대연사거리 부근),5,0,5,3,2
8,북구,부산광역시 북구 화명동(파리바게뜨 화명수정점 부근),4,0,4,2,1
9,해운대구,부산광역시 해운대구 좌동(해운대농협하나로마트 본점 부근),4,0,4,2,2
10,금정구,부산광역시 금정구 서동(부산은행 금사공단지점 부근),8,0,9,4,5
11,금정구,부산광역시 금정구 서동(청도한의원 부근),6,0,6,4,2
12,금정구,부산광역시 금정구 부곡동(장전역 부근),5,0,5,5,0
13,연제구,부산광역시 연제구 거제동(거제교회 부근),4,0,4,3,1
