,시군구,다발지역명,발생건수,사망자수,부상자수,중상,경상
0,중구,부산광역시 중구 중앙동5가(부산우체국사거리 부근),8,0,14,4,8
1,중구,부산광역시 중구 동광동1가(옛시청사거리 부근),7,0,10,4,6
2,중구,부산광역시 중구 대청동1가(대청사거리 부근),6,1,8,3,3
3,중구,부산광역시 중구 부평동3가(부평교차로 부근),6,0,7,3,4
4,서구,부산광역시 서구 충무동1가(충무교차로 부근),8,0,18,2,15
5,서구,부산광역시 서구 암남동(세영수산 부근),6,0,10,5,5
6,동구,부산광역시 동구 범일동(부산진시장앞 부근),9,0,13,3,10
7,동구,부산광역시 동구 좌천동(5부두사거리 부근),6,0,11,5,5
8,부산진구,부산광역시 부산진구 부전동(부전사거리 부근),19,0,32,16,13
9,부산진구,부산광역시 부산진구 부전동(광무교북측 부근),19,0,35,12,20
10,부산진구,부산광역시 부산진구 부암동(진양삼거리 부근),12,0,27,5,21
11,부산진구,부산광역시 부산진구 부전동(서면교차로 부근),11,0,20,4,13
12,부산진구,부산광역시 부산진구 가야동(동의대학교 부근),9,0,11,4,5
13,부산진구,부산광역시 부산진구 부전동(밀리오레앞 부근),8,0,15,4,11
14,부산진구,부산광역시 부산진구 전포동(문전교차로 부근),8,0,10,2,8
15,부산진구,부산광역시 부산진구 양정동(양정교차로 부근),7,0,9,4,4
16,부산진구,부산광역시 부산진구 개금동(백병원 부근),6,0,10,5,2
17,동래구,부산광역시 동래구 안락동(미래정형외과의원 부근),8,0,9,3,6
18,동래구,부산광역시 동래구 명륜동(동부터미널교차로 부근),6,0,8,1,6
19,북구,부산광역시 북구 화명동(화명대림아파트A 부근),6,0,9,4,5
20,해운대구,부산광역시 해운대구 재송동(재송삼익아파트 부근),8,0,19,4,14
21,사하구,부산광역시 사하구 하단동(하단교차로 부근),11,0,18,7,11
22,사하구,부산광역시 사하구 하단동(하단초등학교 부근),9,0,12,6,6
23,사하구,부산광역시 사하구 하단동(청원FS앞 부근),6,0,9,2,7
24,연제구,부산광역시 연제구 연산동(연산교차로 부근),21,0,31,7,20
25,연제구,부산광역시 연제구 거제동(남문구사거리 부근),6,0,7,6,1
26,연제구,부산광역시 연제구 연산동(연산삼익아파트 부근),6,0,6,3,3
27,수영구,부산광역시 수영구 남천동(수영구청앞 부근),9,0,14,3,11
28,수영구,부산광역시 수영구 수영동(감포사거리 부근),6,0,17,4,11
29,사상구,부산광역시 사상구 감전동(학감사거리 부근),6,0,13,5,7
